,32,64,128,256,512,1024,2048,4096
Serial-512,0.0015,0.0025,0.003,,,,,
Serial-1024,0.006,0.007,0.009,0.011,,,,
Serial-2048,0.21,0.024,0.028,0.034,0.043,,,
Serial-4096,0.08,0.087,0.099,0.11,0.14,0.17,,
Serial-8192,0.34,0.4,0.4,0.46,0.53,0.6,0.74,
Serial-16384,2,2.09,2.14,2.19,2.31,2.4,2.79,3.32
Parallel-512,0.048,0.047,0.047,,,,,
Parallel-1024,0.097,0.1,0.097,0.095,,,,
Parallel-2048,0.19,0.189,0.19,0.19,0.19,,,
Parallel-4096,0.389,0.39,0.38,0.38,0.39,0.4,,
Parallel-8192,0.75,0.7541,0.75,0.75,0.77,0.79,0.83,
Parallel-16384,1.6,1.59,1.7,1.65,1.7,1.75,1.84,1.99
